==== START logs for container kube-vip of pod kube-system/kube-vip-rv7cx ====
time="2021-12-11T06:29:04Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:29:07Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:29:10Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:29:13Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:29:16Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:29:19Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:29:22Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:29:25Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:29:28Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:29:31Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:29:35Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:29:38Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:29:41Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:29:44Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:29:47Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:29:50Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:29:53Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:29:56Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:29:59Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:30:02Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:30:05Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:30:08Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:30:11Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:30:14Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:30:17Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:30:20Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:30:23Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:30:26Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:30:29Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:30:32Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:30:35Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:30:38Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:30:41Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:30:45Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:30:48Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:30:51Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:30:54Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:30:57Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:31:00Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:31:03Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:31:06Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:31:09Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:31:12Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
time="2021-12-11T06:31:15Z" level=info msg="Broadcasting ARP update for 192.168.1.254 (94:de:80:a6:4f:f8) via enp2s0"
